Outcome,Sequence,Num_Passes,Pass_Outcomes
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Mascherano → Busquets → Pedro → Iniesta → Messi → Xavi → Iniesta → Messi → Dani Alves → Busquets → Abidal → Busquets → Piqué → Mascherano → Valdés → Xavi → Dani Alves → Villa,18,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Busquets → Abidal → Iniesta → Mascherano → Xavi → Pedro → Iniesta → Xavi → Pedro → Abidal → Valdés → Mascherano → Piqué → Xavi → Dani Alves → Mascherano → Dani Alves → Messi → Villa,20,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Busquets → Messi → Iniesta → Dani Alves → Mascherano → Piqué → Xavi → Iniesta → Messi → Xavi → Iniesta → Xavi → Villa,13,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Dani Alves → Messi → Iniesta → Mascherano → Abidal → Piqué → Xavi → Busquets → Iniesta → Xavi → Dani Alves → Iniesta → Messi → Xavi → Mascherano → Valdés → Piqué → Busquets → Piqué → Mascherano → Villa,21,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Messi → Busquets → Xavi → Dani Alves → Iniesta → Abidal → Pedro → Iniesta → Abidal → Piqué → Iniesta → Piqué → Busquets → Villa,15,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Xavi → Busquets → Iniesta → Busquets → Villa,6,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Dani Alves → Villa,2,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Pedro → Iniesta → Dani Alves → Busquets → Xavi → Villa,7,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Dani Alves → Messi → Xavi → Villa,5,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Piqué → Xavi → Busquets → Dani Alves → Xavi → Messi → Abidal → Iniesta → Pedro → Abidal → Iniesta → Messi → Villa,13,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Dani Alves → Xavi → Dani Alves → Mascherano → Piqué → Pedro → Iniesta → Messi → Iniesta → Abidal → Busquets → Mascherano → Messi → Xavi → Messi → Xavi → Villa,18,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés → Piqué,2,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Messi'), 'success': np.False_}]"
Success,Valdés → Mascherano → Messi → Dani Alves → Xavi → Iniesta → Abidal → Pedro → Abidal → Xavi → Villa,10,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Xavi → Iniesta → Abidal → Xavi → Mascherano → Villa,6,"[{'from': 'Valdés', 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Xavi → Pedro → Busquets → Iniesta → Piqué → Busquets → Abidal → Pedro → Messi → Villa,10,"[{'from': 'Valdés', 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Busquets → Messi → Xavi → Dani Alves → Villa,6,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Piqué → Xavi → Messi → Iniesta → Busquets → Piqué → Xavi → Villa,8,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Xavi → Iniesta → Messi → Villa,4,"[{'from': 'Valdés', 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Valdés → Piqué → Xavi → Dani Alves → Messi → Busquets → Iniesta → Abidal → Pedro → Iniesta → Messi → Villa,13,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
